Total_population,Median_age,BachelorsDeg_or_higher,Unemployment_rate,Per_capita_income,Total_households,Average_household_size,Owner_occupied_housing,Renter_occupied_housing,Vacant_housing,Median_home_value,Population_growth,House_hold_growth,Per_capita_income_growth,Winner
9278,37.9,12.6,21.3,13992,3802,2.42,51.9,16.6,31.6,63959,-0.69,-0.49,0.71,Democrat
18594,36.3,9.7,14.3,14622,6764,2.55,63.7,16.2,20.1,74330,-0.13,0.03,0.85,Democrat
662628,37.9,27.9,12.1,23909,267862,2.41,57,28.8,14.2,112687,-0.09,0,0.55,Democrat
21292,38.9,14.1,15.7,16829,8547,2.47,63.5,17.1,19.4,73643,-0.59,-0.43,0.57,Democrat
13252,34.5,15,15.8,13012,5222,2.47,53.7,20.7,25.6,56642,-1.16,-1.03,0.69,Democrat
51766,36.5,20.4,9.5,22484,19554,2.63,71.1,16.8,12.1,114645,1.36,1.52,0.93,Republican
186407,41.8,25.8,10.6,23549,75067,2.45,55.8,14.3,29.9,159768,2.12,2.24,0.45,Republican
21801,36.6,8.6,12.3,16824,8038,2.55,69.1,17.3,13.6,80587,0.25,0.45,0.67,Republican
57566,38.8,11.2,11.2,18861,22137,2.57,74.7,15,10.2,108324,1.3,1.39,0.43,Republican
34772,39.9,11.5,18.7,17584,14227,2.41,61.9,19.9,18.1,79071,-0.46,-0.31,0.6,Republican
14318,40.7,11.5,14,16850,6000,2.36,62.4,9.8,27.7,64271,-1.06,-0.87,0.73,Republican
14874,40.5,11.1,10,17641,6060,2.44,71.3,17.2,11.5,86748,0.59,0.74,0.49,Republican
48162,35.8,15.9,12.7,18142,19090,2.44,53.6,29,17.4,87323,-0.17,-0.01,0.43,Republican
80859,37,18.9,10.7,20938,28059,2.67,73.6,17,9.4,123426,1.55,1.66,1.03,Republican
17690,41.2,11,14.8,17142,7395,2.35,65.5,19,15.5,78590,-0.46,-0.3,0.56,Republican
329008,37.6,37.8,8.6,26614,132679,2.42,62.4,26.7,10.9,144851,1.78,1.89,0.9,Republican
29828,41.3,9.6,16.5,18024,12481,2.32,64.8,18.3,16.9,77385,-0.49,-0.36,0.61,Republican
23425,37.8,11.9,20.7,16894,9329,2.49,60.5,15.1,24.5,70984,-0.53,-0.37,0.4,Republican
30173,33.6,21.7,11.4,16733,12391,2.32,54.5,26.9,18.6,78828,0.01,0.15,0.74,Republican
196034,37,40.1,8.6,34642,75486,2.58,73.6,17.3,9.1,194086,2.45,2.5,0.74,Republican
69270,41.1,10.8,12.8,17762,28174,2.42,65.8,16.6,17.6,78397,-0.23,-0.16,0.49,Republican
79931,36.5,18.3,11.8,19270,29322,2.54,54.9,28.3,16.8,73240,-0.64,-0.59,0.71,Democrat
23098,34,15,14.1,15140,8671,2.63,45.3,35.4,19.3,57080,-1.35,-1.25,1.08,Democrat
384681,36.9,31,7.9,27521,159706,2.35,54,35.3,10.6,105369,0.62,0.71,1.32,Democrat
42378,52,14.7,8.3,22220,19153,2.18,67.6,17.9,14.5,118998,0.74,0.83,0.89,Republican
220516,37,23,6.7,24912,82726,2.64,64.3,24.9,10.8,134857,2.75,2.71,1.71,Republican
37050,42,14.6,7.6,20402,15411,2.37,65,24.3,10.8,110931,0.69,0.8,0.95,Republican
5559,42.7,7.3,7.7,19369,2308,2.36,58.3,13,28.6,52086,-0.53,-0.39,1.01,Republican
25516,47.7,16.2,6.4,21959,10992,2.3,57.2,14.3,28.4,111416,0.15,0.23,0.85,Republican
94875,35.2,24,8.5,22044,37804,2.45,58.9,33.4,7.7,93575,1.55,1.61,0.76,Republican
8205,41,11.6,12.1,17343,3183,2.43,51.6,18.4,30,48153,-1.09,-1.05,1.05,Republican
